Date,Open,High,Low,Close,Volume
2024-01-01,150.25,155.50,149.75,154.20,1200000
2024-01-02,154.20,156.80,153.50,155.90,1350000
2024-01-03,155.90,158.10,154.80,157.30,1420000
2024-01-04,157.30,159.00,156.20,158.50,1280000
2024-01-05,158.50,160.25,157.90,159.80,1500000
2024-01-08,159.80,162.00,159.10,161.50,1650000
2024-01-09,161.50,163.20,160.40,162.75,1400000
2024-01-10,162.75,164.50,161.90,163.80,1550000
2024-01-11,163.80,165.00,162.50,164.20,1480000
2024-01-12,164.20,166.30,163.80,165.90,1720000
